#Vectors,Predition,Ground truth
4,1,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,0,Iris-versicolor
4,0,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-versicolor
4,0,Iris-versicolor
4,1,Iris-versicolor
4,2,Iris-versicolor
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,1,Iris-setosa
4,0,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,2,Iris-setosa
4,0,Iris-setosa
4,2,Iris-setosa
4,0,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,1,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,1,Iris-virginica
4,1,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
4,2,Iris-virginica
4,2,Iris-virginica
4,0,Iris-virginica
4,0,Iris-virginica
4,1,Iris-virginica
